Index,Campaign Period Sales,Buy,Historical Sales Volume,Number of Prior Year Transactions,Number of Transactions,Purchase Breadth,Customer_engagement_days,Days_since_last_transaction,Customer_engagement_length,Language_group,Repurchase Method,Last Transaction Channel,Number of Employees,Service Level,Do No Disturb,Email Available,Desk,Executive Chair,Standard Chair,Monitor,Printer,Computer,Insurance,Toner,Office Supplies
11495,182.1714286,1,376001.8286,16,16,3,5736,2014,Short-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
11496,0,0,86506.56,2,2,1,10482,2684,Mid-term,English,NOTICE,WEB,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11497,675.7333333,1,2098152,23,23,1,10100,3694,Mid-term,English,NOTICE,WEB,51-100,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11498,198.76,1,254015.28,18,18,1,9674,2961,Mid-term,English,NOTICE,BRANCH (POS),6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11499,198.4,1,85708.8,8,8,2,7661,2348,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11500,0,0,267727.2,6,6,1,9431,3269,Mid-term,English,AUTO RENEW,AUTO RENEW,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11501,393.2,1,994796,22,22,1,9874,3744,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11502,113.7666667,1,216611.7333,14,14,1,20181,1392,Long-term,English,NOTICE,MAIL,51-100,Premier,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11503,0,0,388775.4667,20,20,1,8493,3545,Mid-term,English,NOTICE,MAIL,11-50,Standard,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11504,0,0,749446.1333,14,14,2,10404,4150,Mid-term,English,NOTICE,PHONE,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
11505,207.2,1,220460.8,19,19,1,15214,2411,Long-term,English,NOTICE,WEB,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11506,0,0,101953.28,6,6,1,10953,2903,Mid-term,English,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11507,0,0,57856.064,19,19,2,9234,4107,Mid-term,English,NOTICE,BRANCH (POS),1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
11508,0,0,1372647.36,21,21,1,9417,3351,Mid-term,English,NOTICE,WEB,11-50,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11509,0,0,316281.6,17,17,1,10465,3043,Mid-term,English,NOTICE,PHONE,1-5,Premier,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11510,242.8906667,1,429187.808,19,19,1,1999,2703,Short-term,English,NOTICE,BRANCH (POS),11-50,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11511,0,0,311731.2,24,24,3,8973,3081,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11512,0,0,283221.3333,20,20,1,10862,4098,Mid-term,English,NOTICE,MAIL,6-10,Premier,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11513,0,0,112095.36,21,21,3,5093,2016,Short-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
11514,479.6628571,1,592383.6286,13,13,1,9843,3571,Mid-term,English,AUTO RENEW,AUTO RENEW,6-10,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11515,331.8293333,1,408813.7387,22,22,2,10069,3540,Mid-term,English,AUTO RENEW,AUTO RENEW,1-5,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
11516,0,0,272150.424,7,7,1,11135,3024,Mid-term,English,AUTO RENEW,AUTO RENEW,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11517,0,0,180555.52,4,4,1,3167,2601,Short-term,English,NOTICE,MAIL,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11518,0,0,65310,3,3,1,14561,4110,Long-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11519,465.8666667,1,704390.4,12,12,1,14210,2834,Mid-term,English,NOTICE,MAIL,51-100,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11520,0,0,1087850.057,24,24,1,10496,3280,Mid-term,English,NOTICE,MAIL,6-10,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11521,0,0,341474.64,15,15,1,5164,2076,Short-term,English,AUTO RENEW,WEB,11-50,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11522,237.7333333,1,257465.2,19,19,1,13934,2630,Mid-term,English,NOTICE,MAIL,6-10,Standard,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11523,408.96,1,714044.16,18,18,1,15760,3020,Long-term,English,NOTICE,MAIL,11-50,Premier,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
11524,0,0,79097.6,20,20,1,11349,2614,Mid-term,Unknown,NOTICE,MAIL,1-5,Premier,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
